# Do NOT update this file. It can be overwritten when updating.
# add new entry to lora-keyword-user.txt
# 
#model_hash,keyword,filename.ckpt
0003db5c, bingbingfan
0007f325, two-handed burger
00167571, upper body|close-up
001e72f5, vr-mayumi
001f55e8, goldmary (fire emblem)|goldmary (fire emblem)
0021c9be, sorakado ao
00250bee, bronze statue
00268176, sekisiro miko
0027c5ca, 1boy
0028f56f, Straightjacket|woman in a straightjacket
003e5df2, hcutin, hcutinConcept_18.safetensors
003e5df2, vcutin, vcutinConcept_18.safetensors
003f4806, akigumo_(kancolle)
0050b0b7, oshino_shinobu|blush_stickers|blonde_hair|long_hair
005ffd07, tom holland
006ae122, koko|bubble skirt|aqua shirt|collared shirt|expressionless|fox mask|long hair|long sleeves|mask|multicolored buttons|pink eyes|pink hair|orange skirt|plaid shirt|purple bow|purple bowtie|very long hair|white socks|footwear bow
00aac519, shamare|shamarehead
00abb8e1, shokaku
00af0c92, xidaidai
00b1f226, 1girl| nanase_eru
00b4d0e1, comicmay artsyle|redshift style
00c99fa6, sayla mass
00db9810, shamsiel_shaharl
00e3fb8d, geru
00eccee7, mayoi_hachikuji|twintails|red_eyes|white_hairband|hairband|bracelet|green|randoseru|backpack
010bb0a7, beetle
011871dc, slingshot swimsuit|eyepatch bikini
011b3782, tohru|dress maid|dragons tail
011c6a47, florence nightingale (fate)
0121f1ed, towa_2|towa_jp|tokoyami towa
01249bc5, ttshd
012d56ef, cruschnai|military uniform|military hat|green hair|orange eyes
0131442a, samira (league of legends)
013927ee, femalefigurine
013b9cb9, gbfvikala| brooch| hair bow| hair ornament| fake animal ears| short hair| long sleeves| mouse ears| navel| red eyes| white skirt| white hair|
013fd064, deathtrooper suit
0179b888, mirko
0181b97d, prix|prix woman
01863c0e, kuybyshev
01884ddc, virtual youtuber|nekomata okayu|cat ears|ahoge|animal ear fluff|short hair
01996cd8, war_glam|wearing war_glam|armor
01998346, vaz2108
01a5fb2c, underboob|skindentation
01b2150b, dickneck
01b27dac, oyamamahiro|oyamamihari|hozukikaede|hozukimomiji|okaasahi|murosakimiyo|tenkawanayuta
01bb277f, irishuo|1girl
01c34a14, hayasaka_ai|blue_scrunchie| short hair|blue_eyes|hair_between_eyes| side_ponytail|(blonde_hair:1.2)|sidelocks|
01d0d2fd, mejiro mcqueen (umamusume)
01d6117d, kouya|dog tags|tank top|pants|speedo|armbands
01e83388, koito minase
01ebe0cc, woman girl
02086541, hanbok
02095318, sspll
020e7572, senketsu|matoi ryuuko|suspender|school uniform
021783ce, elysia
0219e224, 1gilr
02214a1a, coffeelove68 style
0222f058, spacemarine style|drawing|man|in armor|holding|machine gun|space marine suit|low angle
0231336f, upside-down
02318246, complete anatomy|submerged water|partially submerged|bubbles|shiny skin|sweat|cloudy sky
023689c1, 1girl|claudialevantinekuroinu| bikini armor
0250e61d, 35mmneon
025e26d4, ink wash painting|
02604992, liuwei
0275cc2e, shibuya rin
027824da, keai|1girl
027c74ab, 1boy|solo|male focus
028c5df9, lucy|wendy|erza|bisca|hisui|mirajane|juvia|lissana|levy|cana|yukino|fairy tail|anime art style
0294a76e, [(white background:1.5)::5]| (bottle bottom:0.9)| 1 girl| mid shot| full body|
029b66a4, lucoa
029c8901, pixarstyle
029ff794, sterling_subdue|sterling_swimsuit
02b0f316, sonoko
02b9d3a1, calvin klein|calvinklein|calvinklein_lingerie|calvinklein_words|calvinklein_logo
02c2ddb8, psta|psta background|snow|vehicle|winter|tree|day|night|flooded|fence|real world|russian city|ruins
02c60eb4, woman
02cf0cff, 1girl
02cfef02, snowwhite(queen's blade)|white hair|short hair
02d1cd88, essex|essexuniform|essexbiker|essexchinadress|essexpartydress|essexdetective
02dd6b7c, cokoPerson
02ec0307, klinn art
02edaab7, ver(aethergazer)
02f01d9f, vaz2112
02f7234a, moona hoshinova
02fc949f, yunaffx|(holding a staff)
0306b51f, massadress
03083795, menhera|black hoodie|brown hair|brown eyes|drawstring
030bc6db, zhixue
031e577a, zenvotsrs sports car
031ef83b, djongong man
0330eca7, prumptakvani
034bf181, bukkake|cum|semen|fluids|saliva|ejaculation
034d0a01, testicle sucking|testicles|penis on face
034fa03f, suppasara|1girl
03677723, wide hips| huge ass| nude| 1 girl| huge breasts
03691735, kagarino kirie|
036a32e7, lola|lola bunny
0375c039, hiratsuka shizuka
0379bd7a, iu1
0379c1a5, bubblegumwaifu
038b9d0c, korona kusakabe|school uniform|black legwear
0394193d, upper body|close-up
03a1b590, 6
03a4a9d8, artoria pendragon (swimsuit ruler) (fate)| ahoge| blonde hair| green eyes| french braid| pony tail| bare shoulders| large breasts| cleavage| clothing cut out| wrist cuffs| detached collar| navel cutout| feather boa| white leotard| blue necktie| blue pantyhose
03a96843, girl
03adfd5c, zn6|zn8
03b7975f, natalie dormer
03bef7b4, vdiva-1|asymmetrical clothes|navel|midriff|elbow gloves|blush stickers
03d10c21, hanged|rope
03d535e8, heart-shaped pupils|star-shaped pupils
03d6aa26, katopunk
03de8ffb, breasts|dress| earrings|blue_eyes|pupils sparkling| ponytail|jewelry| very_long_hair|
03df1aaa, tartaglia_(genshin_impact)|a young men|male_focus
03e77d70, j3nn1f3r
03e7f352, aliceeve
03f63418, blue hair|necktie|gloves|thigh highs|long sleeves|hairband
03ff2c4d, ganyu| gg!| gan| yu| 1girl| ahoge| armpits| ass| bare_shoulders| bell| black_gloves| blue_hair| bodysuit| bow_(weapon)| breasts| cowbell| detached_sleeves| gloves| goat_horns| gold_trim| holding_bow_(weapon)| horns| ice| long_hair| long_sleeves| looking_at_viewer| low_ponytail| medium_breasts| purple_eyes| simple_background| solo| thighs| vision_(genshin_impact)| weapon| wind_lift| ganyu_(genshin_impact)| rating:safe|
04040ee5, 1girl
040ccc3e, bluejoucho
04170c2a, dnc_glam|wearing dnc_glam
041ad4df, sister_clearire
0427bdc9, side ponytail
043215a5, tenninka
0434c0fa, mizuhara_chizuru
043f5581, radagon|shatteredradagon|unbrokenradagon|eldenring|marikahammer|golden cracks|cracked skin|elden ring (/object)/|blue robes
04450477, sheik|the legend of zelda|nintendo|red eyes|androgynous|braid|scarf|bodysuit
0449c9db, Vex
04538e1e, luna
04561cf7, eda|black lagoon
0458aeaa, velma
045c144d, zorianv1
045f65ab, hidetoshi nishijima(kamenrider black sun)
04619d43, asuka|white_bodysuit|red_bodysuit|mecha
0462d0c9, artsyle_by_horosuke
0465a951, mte_vk
046c42bc, alchemaniac
046f1c67, rvn|hotraven
047632f1, hayley williams
04790acb, nagase mana|uniform|idol
047e6191, darth_vader
04800fa1, goeniko
0496fcbd, yuubari (kancolle)
04a58c91, ichigyou ruri
04a9666a, mandragora-v1
04b207ab, linus_sebastian
04bc6cd5, ikun
04c0fa5d, sangonomiya kokomi
04c5a4b6, yuna(god)
04c5af40, herumu
04cd8b8f, bigbossink style
04cf1dc9, bangchan|bang-chan
04d0a3d0, sara valestein
04d2d040, jett
04dd0ccb, Lappland
04e27b3e, 1girl|scathackl1| bodysuit|(white armour:1.2)
04e5e6f5, hydnwntrs
04e646d7, darkest dungeon| virtue
04e89cee, nep traveller
04f1bbfe, through_screen
04f3bc68, jordyn
051008a7, snthwve style|nvinkpunk
051e3028, momoi (blue archive)|halo|cat tail|momoi's style
05209091, hifumi (blue archive)|1girl|solo
0522ef70, luxanna crownguard|staff
052d003f, painting by john william waterhouse
052d8068, shubble
0531c6d1, gasai yuno|yunouniform|yandere face
05383b51, idris elba
0552d255, quinella|quinella_(sao)
0561c7b3, ryomou shimei
05689c9f, hellhound|animal hands|black sclera|claws
056eea43, artgerm|supergirl
05701b00, glass bottle|glass cup
057a3559, katrinamoreno
058ad3d7, aqua (konosuba)
0590d55c, shaye
0594f36f, yor
05979875, kitagawa marin|kitasch|kitabkn|kuroe shizuku|rizu-kyun|inui sajuna|inui shinju|gojou wakana|gojoujap|gojouband|gojousch|grampa|towel around neck
05a055f4, coco
05ad3c3c, karukan (monjya)|mecha
05c3ffc4, Japanese|porn|woman|av actress|japanese woman
05cfd1c8, rzju4n
05e4a260, 1girl|古风
05e7e527, statue
05f03851, KAWARABATO
05f9a6e7, toon
05faae52, upper body|close-up
05fba855, antennae|horns|white hair|w (arknights)
060b0916, pussy
06115c62, PCR|chibi
061ab2a4, kaguya
061b4257, 1girl|japanese_clothes|white_background|white_kimono|simple_background
06287224, emi takei
062aab41, sharingan
063bcf5f, pouring_into_pussy
063ebee8, sabinewren| (mandohelmet)
063ee691, angel_csm|vermilion red hair|halo
0640febe, (vyvan2)
0641851d, drossel|fireball|charming|humorous|ariadne|twintails|ponytail|short twintails|glasses|helmet|visor up|visor down|long hair|3d|2d|flaps up|flats down|nsfw|double buns
06434c28, mikami
0644ef95, sumetal person
064cf031, nara
064eae40, shaylaren
065c0be9, indiaevans
065faa37, rikujou|track and field|track uniforms|sportswear|sports bras|sports bikinis
0662bc54, 1boy|red eyes|very short hair
06669a9f, vermeil (kinsou no vermeil)|dark purple hair|hair between eyes|red eyes|short hair
066ad93a, ria
066c898b, animal ears|multiple tails, arknightsSuzuran_v10.safetensors
066c898b, multiple tails, arknightsSuzuran_v10.safetensors
066edeed, M590|M590Dress|M590School
0676d926, 1girl| helena
067a7adf, hand to own mouth
067d494a, iris heart
069290df, hara
06931c84, kozuki miyu| daiyonchugakkou seifuku
069a799c, vvv|purpleheart|xxx|rof|ttt|origin
069cff63, snake hair
069d623d, suigintou|blackdress
06aa09f8, matikanefukukitaru (umamusume)
06b22089, kochou shinobu|haori|japanese clothes|butterfly hair ornament
06bf6fb0, korona kusakabe
06c2042b, metalgearsoild
06c2061c, fingering| schlick| masturbation
06c3d391, ikamusume
06e67014, mountain_hare_(kemono_friends)
06f2a4c8, shiranui_flare
06f33349, by sky-freedom
06faa092, headx|duebass
06fff4cf, liminalspaces
07009e9d, Olivia Holt
0702bb6a, colleirnd|colleidef
07045d0a, hu tao(genshin impact)|symbol shaped pupils|hat|flower|boo tao
070ef96c, megumin|kono subarashii sekai ni shukufuku wo!
07105c68, lee
0711976f, jenniferconnelly
0716dcbd, kljy
071c30fc, mdr|mdrdress|kuro
072c14bf, strapon penis
07454e65, jackochallenge|jackopose||jack-o_challenge| jackopose
074c5cbc, helsie_fr| 1girl| dark hair with green and red strands| ponytail| studded choker| earrings|
0756bb58, himari
075a28b5, 1girl amnesia green eyes short hair|white cape black skirt pleated skirt white jacket red shirt garter straps black thighhighs thigh boots
075a34a6, bagpipe
075af5f9, aphprisoner
0763c979, ririchiyo|roromiya
076ea353, open mouth|uvula|saliva
0774dfad, loradaisy
0776d50c, a girl|purple hair|green eyes
077af079, sen_no_kiseki|style
077f3c1f, kongou (kancolle)
0780faa4, louise francoise le blanc de la valliere
07834dfd, raven
0783812b, misaka_mikoto|shirai_kuroko|saten_ruiko|uiharu_kazari
07844eed, tasm2spdrmn|spider-man
078fcbd7, jaidenanimations|purple shirt|brown hair|white skin|nsfw
07909a2f, silkie|silkie chicken
07a25c26, frankie adams
07afb0c3, senjo_hitagi
07b27d7a, kuon ( utawarerumono)| 1girl| long hair|japanese clothes| solo| animal ears| tail| black hair| open mouth| low-tied long hair| sash
07b4e9be, kizuna ai
07c01dd0, NatureVRM
07cc3bf7, nishino flower (umamusume)
07d8a6fe, mae borowski|orange shirt
07da4d64, bjddoll
07e0c4b2, hnsrdlf style
07e22131, ringo
07ee9e95, oversized_hoodie_e|（(hoodie:1.5))
07f33d76, 1girl little prinz eugen (azur lane) streaked hair short hair|bare shoulders iron cross black dress white skirt
07fc4882, calvinandhobbes|a cartoon
0802320e, ohwx
0817a2b9, gawr gura|ninomae ina'nis|watson amelia|mori calliope|takanashi kiara
081f8a15, woman, koreanDollLikenesss_v10.safetensors
081f8a15, woman|girl, koreanDollLikeness_v10.safetensors
0820384d, gold city
08466c89, bags_under_eyes
084696b9, hina hinamatsuri|blue hair|blue eyes|little girl|no expression|white shirt that has red text on it saying sugosugi|green shorts
084a79ed, sandra soul
084b139c, shiranui mai|kunoichi dress
085955af, chtholly nota seniorious
085f796c, sunrise stance| (holding weapon:1.3)|
0867a0bc, ajaws
086d81d8, nanakusa nazuna
0883796f, yimiru
088df59f, chi-chi
089cd627, xiayan|1boy|brown hair|red eyes
08a57f3c, nieve|armor|weapon
08a5b14f, carrot hair|rabbit ears|pantyhose|gloves|dress|rabbit tail
08b30374, baitie|1boy|cat ears|blue eyes|streaked_hair
08c26550, original_outfit|cross|iron cross|fur trim|thigh boots|peaked cap
08c7703c, mei karuma
08c942ba, lexeesmith
08cb6ca2, vaz21099
08cde28b, 多娜多娜
08d21016, kagero (fire emblem)
08d6a386, webcamscrenshot
08d78260, tubbycat
08db122b, blue_bow| bow| brown_hair| jacket| short_hair| brown_eyes| school_uniform| hair_ornament| white_shirt| bowtie|rabbit|
08dbb120, yifu
08e2f336, qtpi
08ee2af7, Neptune|long hair|hair flaps| aqua hair|maid|maid dress|arm cover|maid headdress|shell hair ornament|
08f2476d, m4a1
08f54569, kimberly ann possible|1girl|abs|brown hair|breasts|fingerless gloves|gloves|green eyes|large breasts|lips|long hair|pose|solo|thighs|toned
08f56b3f, yeonwoo
08f5f154, rodrigoromeh person
08fb3aa9, ((leg_up|leg lift))
090089e2, jpn idol
09059ee6, big muscles|huge muscles|hyper muscles|big balls|huge balls|hyper balls|big penis|huge penis|hyper penis
09180eaf, pobee
091ab014, yukisakurai
09331082, 1girl| solo| thighhighs|  large breasts| purple hair|  blue eyes| gemlong hair| dark skin|
09459d28, fu1fu|charcter doll|chibi
095cb05a, atomic heart|robot|cyborg|android|faceless
09655603, Scat|Guro
096a14f3, miaoxiaoji(secret_tea)
097a73af, gundamfight style
097bd94b, roxanne goofy
09842dbf, 1girl|pov|penis|from behind
0986eb36, hair grabbing|grabbing another's hair|sex from behind|doggystyle
0990e4ed, upper body|close-up
0994c3c7, cubedcoconut
09a34186, battleshipprincess|glowing|black dress|monster_turret
09aed63f, mgq_sisterlamia|golden hair|lamia|nun
09b09734, zazieskymm
09ba1d82, kyouka uzen
09bbc26e, ichinose_honami_(youjitsu)|ichinose_honami
09bcb72f, guofeng|chinese|bokeh|silk dress
09c0f89e, tsunemori akane|suit jacket| collared shirt| pencil skirt
09c63c9c, mirrormaiden
09df4382, pink hair| two side up||jacket| shirt| skirt|
09e8a628, alehe|parody|style parody|alphes (style)
09ef0cd9, sdol|see-through clothes|cum|tongue
09ef226d, masterpiece
09fbcdf7, ikuta|idol|women|girl
09fc1a77, ebenya|russian city
09fcdae4, yotsugi_ononoki|ononokihat|yotsugiononoki
0a047663, suck
0a0c014a, by cranash64
0a0d1ffb, suzhouyuanlin
0a16334b, mayabl2
0a1904f3, gundamrx78
0a2857a4, cheelai
0a2e92f4, ufotable screen cap
0a384227, allison mack
0a3e6fd9, cyberangelsoldier|holding machine gun|purple hair|red hair|pink hair|woman
0a4037e0, 1girl
0a41a8e8, yukinoshita-haruno|red_coat|medium_hair|scarf|black_shirt|collared_shirt
0a51c1bb, syndra
0a57a9e3, femmefatale|lycoreco|lycoris|training|sleepover|tropicalwaitress|sakana
0a5ab197, 1girl
0a5b43e7, navel|ruler_tattoo
0a5c727c, meizi
0a5e3353, mong
0a662bc9, forehead mark|diana|diana (league of legends)
0a7e327b, AkiraGGN
0a82a27b, chaeyo
0a85fca3, yoru
0a860902, Jiyeon2
0a87696e, 1girl| cross-shaped pupils| nia teppelin| solo| long hair| multicolored hair| symbol-shaped pupils| open mouth| looking at viewer| smile| sleeveless| skirt| hair ornament| bare shoulders| arms behind back| dress| breasts
0a8f0cac, wada arco| art style|
0a9df678, fgstyle|science fiction
0ac5532a, origin|originhead|shifen|shifenhead
0ad4b71c, 无
0ae4d172, iu
0af44719, maple_neko
0af4c727, 1girl| autumn_leaves| blue_hair| blurry| blurry_foreground| depth_of_field| hat| leaf| looking_at_viewer| maple_leaf| open_mouth| outdoors| sailor_collar| shirt| short_hair| sleeveless| smile| solo| starfish| sunglasses| tree| virtual_youtuber
0b06f40e, jeans|short jeans|water gun|white shirt
0b0a8e12, chetzarlora
0b1644f4, ryanreos|realistic|photorealistic
0b1d418a, science fiction|war between two cities on mars|spaceship|high-tech|night|prospect|moonlight reflection|sacred|landscape|bright|fhd|4k|high-resolution|realistic|surrealistic|super wide angle shot|canon 5d|v-ray|quixel megascans render|sintane render
0b24c039, 1girl
0b312214, filo
0b49bbf4, nomura tetsuya
0b4a8c13, namratashirodkar
0b500063, star guardian lux
0b5bf498, blaze
0b67b66a, indomitablemaid
0b6917b7, hamel|black dress|red dress|long hair
0b6e56ab, a girl| boots|mini crown| fur-trimmed_jacket
0b757b27, brown_hair|large_breasts|brown_eyes|ponytail||black_short|purple_legwear
0b7816df, ningguang (orchid's evening gown) (genshin impact)|ningguang(genshin impact)
0b831780, gyy/nice
0b856453, kimono
0b8d65f2, marinac|marinac_v1
0ba263bf, cowgirl_position|squatting_cowgirl_position
0ba3dad3, cubismcubed style
0ba9234d, pallas_cat
0baf25e9, kannagi yuuri
0baf78b9, scherazard
0bb032c5, hanafuda
0bbaa281, chtholly
0bc463aa, bloodrayne|corset| midriff| shiny clothes| elbow gloves| pendant| green eyes
0bc76925, faust
0be3ec70, kiriko
0bed848b, original_outfit|annasummer
0bf58d54, mirellia_q_melromarc
0bfb38fc, brd_glam|wearing brd_glam
0c18d5e3, thigh_boots|elbow_gloves|race_queen
0c2122e6, saito kyoko
0c2c6bd6, JoleneBlalock15
0c3751fa, loong
0c3d445e, takarada rikka
0c40fd4a, sento
0c4cf095, gwendolyn|hip feathers|strapless dress|crown|detached sleeves|choker|armored thigh boots|feather hair buns|holding polearm
0c4d1c18, hutao|hat|socks|solo|white background|from behind|simple background|full body|outstretched arms|long sleeves|spread arms|chinese clothes|white socks|shoes|black headwear|shorts|kneehighs|flower|black footwear|coat|facing away|standing
0c6373da, saki|photon maiden|d4dj|izumo saki
0c680a4c, shs reinopool| reinopool| pool| indoors| tile floor|  tile wall|
0c6bd767, kneesocks
0c7332eb, alisabcnv|newtkn|chainsaw enbld|bnycstm|mechanical wings
0c74d2e3, album_cover
0c81abec, kurokami
0c8544ea, Evelyn
0c93721f, 1 girl|birth|headbirth|bodybirth|finalbirth|umcord|amniotic fluid, yunonaPregnant_v10.safetensors
0c93721f, birth|headbirth|bodybirth|finalbirth|umcord|amniotic fluid, yunona_v10.safetensors
0c9b8e7f, nana|1girl| green eyes|green_hair ribbon| fur-trimmed_jacket| boots| brown_hair| cape| eyebrows_visible_through_hair| fur-trimmed_jacket| grey_skirt| hair_ribbon| jacket| jacket_on_shoulders| long_sleeves| miniskirt| pleated_skirt| red_jacket|  shirt| short_twintails
0ca05262, _nora_
0cacda67, wolfychu
0cad8425, emilia_(re:zero)|silver hair|purple eyes|hair_ornament|pointy_ears|crown_braid
0cae2277, sweep tosho (umamusume)
0cb0c1eb, mummification||bondage|gag
0cb6f439, shadow_cutoff_point|center_of_3d_object_border|shadow_add|shadow_darken|shadow_gradient
0cb8b336, brunhilde
0cbac09b, nagamori
0cbefe54, nemona
0cc1677b, nsfw
0cc56caf, akechi gorou
0cc78d17, 90vhs|vhs still from tv
0cc8a0d4, artwork|painting|breast|big breast|huge breast|flashing breasts|soft nipples|long hair, perfectDreamWorld2_v1.safetensors
0cc8a0d4, lora, lora_14.safetensors
0ccd1491, perfumer outfit1|perfumer outfit2
0cdb758d, chinese doll
0ce14617, ryuuguu_rena|orange hair| blue eyes|school uniform| serafuku| sailor collar| neckerchief| pleated skirt|white dress| beret| purple bow tie| long dress| black thighhighs| high black boots|weapon| holding weapon| nata (tool)
0ce1fc1b, nyx (hades)
0ce45294, cape|hair ornament|striped pantyhose|white necktie|dress
0cfa09df, yajiebyzsp
0d00aa53, wrc style
0d029eb8, kaisasg
0d1ae403, 1girl| solo|   blue_hair| short_hair| hair_ornament| ahoge| hairclip| heterochromia| blue_eyes| yellow_eyes| hood| hoodie| yellow_hoodie| shoes| shorts| hood down| blue_shorts|bag
0d1b6c6c, koneko toujou (dxd)|classic uniform
0d1ec897, style-おゆわり
0d2e3550, ray caesar style
0d44c360, yamagishi fuuka
0d628998, agonymouth|emoji style|emoji face|meme face
0d6dd924, haqua d'rot herminium|skull hair ornament|chained choker|red school uniform
0d7f7373, tekkowang
0d836177, kirasaka sayaka
0d9101c4, by mollie monger
0da35ed5, woman|lina
0da9d06f, girl
0db1158e, amee
0db73245, victorica
