# Do NOT update this file. It can be overwritten when updating.
# add new entry to model-keyword-user.txt
# 
#model_hash,keyword,filename.ckpt
01f61612, clonewars style
03f434be, MTG card art
0655784d, gtav style
06a9d223, mengersponge|sierpsponge
079b172e, illustration style kurzgesagtish
08f7a22d, Papercut
096596d8, PoW ArtStyle
0b09ad3b, ctsmscl
101d2d78, barbieworld
10c6aa67, studio_ghibli_anime_style style
116d5535, coralchar
12c978ba, Shigenori Style
1400e684, analog style
14e1ef5d, dreamlikeart
15540f03, gigafractal artstyle
168f95ca, asim style
16d77205, elden ring style
17b7e1de, romerorzeternos
1b30cc76, eva123xyzmendes
1b51225c, ClaymationXmas, claymationXMas_10.ckpt
1b51225c, dronelightshow, dronelightshow_v1.ckpt
1c254752, vulcan
1f258730, dbluth
219cbfe8, RKart style
2258c119, CNDigitalArt Style
234cc409, comicmay artsyle
254fb5cd, hasanpiker person
265e757d, Sidon|Sidon style
26621fc2, tdst style
27ea8c02, snthwve style|nvinkpunk
28c385a0, Bloodborne Style
2a3e365b, arcane style
2bb2342e, rotoscopee
2cd4cf48, sjh style
2e6bbced, vectorartz
2f7b2f79, mj-sphere
2fd6057b, Batman_the_animated_series
30833d87, luffy man|zoro man|nami woman|sanji man|nico woman|chopper boy|franky man|usopp man|brook man|jimbei man
318a302e, arcane style
333ecf3c, sks woman|(sks woman)|((sks woman))
35a0bad3, starsectorportrait
37910104, youngja
38e89fda, itojunji style
390d2cdf, FluidArt
39c38163, itojunji style
39fcd9e7, PoW Style|Rick Roll|fullbody shot
3a030c52, cloud strife|tifa lockhart|aerith gainsborough
3b214cf8, style
3d28e095, 3D Style|Rick Roll|fullbody shot|bad cosplay man
3ee7d195, yoshin style
3f095502, mdjrny-shttr
4192fc16, kurzgesagt style
41fef4bd, nousr robot
4326c062, ppllnnn
439f64ec, angel |model |realistic, modelRealisticStable_angelModel.ckpt
439f64ec, midjourney model 1.5v|model v1.5, warriorGirlOfArmorSd_armorGirlWarrior.ckpt
4449cdac, samdoesarts
4470c325, temp
4859814c, TransX
48823be0, coralchar
48d0f413, Mtg art
4a0c37d8, supermarionation
4aef3692, sks woman
4cac193b, sks person|(sks person)
4d5cca44, TinyPlanet|TinyCityPlanet
4dcd8191, FFT
4ef65125, warrior
4f3ec643, rlcrtn
4fb23b6b, wa-vy style
50444ca2, trnlgcy
521893a1, voxel-ish
538d7157, pcrc style
55537280, temp
57b149de, voxel-ish
59724734, IconsMi
5a1e4b93, coralchar
5bcd62ae, megapals|megapals style
5c720792, serphm
5c7e6e88, 80sFashionRobot
5dbcf115, feralplmr
5e081326, Matchapix
5e107da3, ComplexLA style
5f06aa6f, ttdddd
5fc312dd, newvegaschar
60fe3f35, ricknmorty style
61d9038b, takeON
633a553c, dwdrp
643afbd9, Microscopic
645a42cf, newstl
64afe6d2, CALARTS
64e73fcb, dbz style
6606d2db, ttw style
6648a62e, gGWoman
66b4c45e, archer style
674e38cf, Mtg art
